A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ,BR,BS,BT,BU,BV,BW,BY,BZ,CA,CB,CC,target
a0497d5d,17cm,16,1,,,17cm,24.49848485,66,151.8,33,61,73,120,,,,,17cm,0,0,16.9,2,24.6,2,0,0,12,1,12,1,12,1,17cm,1,5.06566,24.5012,1375.69,1788.39,29.8848,88.7917,14.3314,10.1698,63.0083,2,33.1139,25.793,83.726,38.7718,62.9987,17cm,2.91,,,17cm,2,1,1,1,2,3,0,3,1,2,3,3,2,2,2,1,2,1,2,1,17cm,31,45,17cm,3,1
66094cfd,500years,11,0,,,500years,18.08046281,55,77.8,26,74,58,112,,,,,500years,29,1,13.5,2,19.2,2,7,1,0,0,0,0,12,1,17cm,3,3.84786,18.0824,1129.03,1919.36,16.0997,62.52,14.531,3.5514,15.28,1,31.3136,15.1067,58.6722,28.1274,47.4133,,,17cm,2.98,17cm,3,2,2,0,2,1,0,1,1,1,2,0,1,1,1,1,1,1,1,1,17cm,30,43,500years,2,0
d85a62b3,500years,6,0,500years,60,chotu,20.53753673,48.88,69.8,,70,76,113,chotu,,,,500years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,5,5,5,2,5,3,0,3,2,3,3,0,3,2,2,5,,2,0,0,chotu,52,72,500years,1,2
44596139,chotu,8,1,,,500years,,,,,,,,,,,,,,,,,,,,,,,,,,,500years,2,3.27678,25.3798,1130.69,1696.03,20.8933,62.696,15.6924,9.6874,38.704,3,27.7584,14.0443,59.4192,28.0858,48.6516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9853fb61,500years,11,1,,,500years,23.11290131,58,110.6,32,66,69,111,,,,,17cm,12,0,13.3,2,15.4,2,0,0,9,0,9,0,11,1,17cm,1,3.99793,23.1154,1223.46,1590.5,25.4076,72.5774,15.1687,7.94673,38.0226,3,29.4405,17.7293,68.5795,28.1149,54.8482,,,500years,2.2,500years,3,3,2,0,3,0,0,1,1,1,1,0,1,1,1,2,2,2,2,1,500years,69,94,500years,0,0
b31dd1bb,chotu,17,0,rinki,40,500years,19.2925696,62.5,107.2,,,,,,,,,500years,7,0,12.4,1,17.8,2,9,0,6,0,5,0,8,0,500years,3,5.13494,19.2947,1334.47,2268.6,23.182,84.4016,15.1913,4.10342,22.7984,2,39.5434,21.6762,79.2667,42.781,62.7254,500years,2.32,,,500years,2,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,,,,chotu,2,0
d8c2430a,rinki,10,0,rinki,40,,,,,,,,,,,,,500years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,2.23,,,,,,,,,,,,,,,,,,,,,,chotu,45,63,rinki,,
3f51a21d,500years,7,0,,,500years,15.86931017,50.25,57,22,61,73,109,,,,,500years,0,0,,,,,0,0,6,0,4.5,0,9,1,17cm,1,2.93835,15.871,984.74,1280.16,9.17632,47.1507,13.1286,2.74242,9.84927,1,23.8736,14.1009,44.2124,17.8422,33.0499,,,,,500years,5,5,4,0,3,2,0,4,2,3,4,0,3,4,5,5,3,5,3,3,500years,59,81,500years,1,2
7b78e634,17cm,11,0,,,rinki,26.31111111,57,121.6,,73,87,122,rinki,4,5,47,rinki,20,1,11.7,1,13.6,2,15,1,7,0,6.5,0,8,0,chotu,4,4.28582,26.314,1292.23,2713.68,20.5184,79.9023,17.2907,9.02329,41.6977,2,39.8031,19.5808,75.6165,48.3407,60.3215,,,17cm,3.08,rinki,5,5,5,1,5,1,5,5,1,2,5,0,5,5,5,5,2,5,1,2,rinki,35,50,17cm,2,2
ff18b749,chotu,7,0,,,500years,14.76884211,47.5,47.4,,58,99,98,500years,,,,17cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500years,62,85,chotu,0,0
356ab908,chotu,16,1,17cm,55,500years,19.01669922,64,110.8,,62,67,111,,,,,500years,13,0,20.8,2,25.8,2,1,0,9,0,10,0,11,1,500years,2,4.92146,19.0188,1310.75,1966.13,27.6207,81.8753,14.0539,4.96492,28.9247,2,32.4121,21.8426,76.9538,35.3261,60.0327,chotu,1.35,,,500years,4,4,4,0,4,2,4,1,3,0,4,0,2,4,2,2,4,0,2,2,500years,41,58,chotu,1,1
b3c0cf36,rinki,5,1,,,,,,,,,,,,,,,chotu,0,0,,,,,0,0,14,1,14,1,11,1,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,0,
61f2a7c7,rinki,15,0,,,,,,,,,,,,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,3,
5072d44b,rinki,7,1,,,rinki,15.95990822,45.5,47,22,57,81,107,,,,,rinki,0,0,,,,,1,0,11,1,10,1,12,1,rinki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,0,
539e989c,chotu,10,0,,,500years,,,0,,,,,,,,,500years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17cm,2.37,,,,,,,,,,,,,,,,,,,,,,,,,chotu,,
2282b403,rinki,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,43,60,,,
e81bef0e,500years,16,0,,,chotu,,,,,,,,,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7b1374e,17cm,13,1,,,rinki,25.49380853,62,139.4,,78,100,127,,,,,rinki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,1.36,rinki,5,4,4,1,1,1,0,1,2,2,3,0,2,2,2,1,2,2,2,2,rinki,45,63,17cm,0,1
531c7a83,rinki,10,1,,,17cm,,,,,,,,,,,,17cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,2.82,,,,,,,,,,,,,,,,,,,,,,,,,rinki,1,
00008ff9,17cm,5,0,rinki,51,17cm,16.87731569,46,50.8,,,,,,,,,17cm,0,0,,,,,0,0,7,0,6,0,6,1,17cm,2,2.66855,16.8792,932.498,1492,8.25598,41.5862,13.8177,3.06143,9.21377,1,24.4349,8.89536,38.9177,19.5413,32.6909,,,,,17cm,5,4,4,0,4,0,0,4,0,0,4,0,4,4,4,4,4,4,2,4,,,,17cm,3,2
863e40c7,rinki,10,0,500years,63,chotu,15.66353719,55,67.4,,56,75,105,chotu,5,8,0,chotu,7,0,12.2,1,13.1,2,4,0,8,1,8,1,9,1,,,,,,,,,,,,,,,,,,,,rinki,2.75,chotu,1,1,3,1,3,1,0,2,3,1,3,0,1,0,1,1,2,1,4,1,chotu,42,59,rinki,2,0
dea0552b,500years,13,0,17cm,45,500years,18.07355683,71,129.6,,80,87,116,,,,,500years,40,1,29.5,2,27.8,2,25,1,14,1,14,1,12,1,17cm,5,-5.02683,18.0755,1612.03,3868.87,35.249,113.965,15.895,2.18058,15.6345,3,49.0663,29.6501,118.992,53.1022,84.3153,,,500years,3.81,500years,4,3,3,2,3,3,1,2,1,3,3,0,0,3,3,2,2,2,3,2,500years,44,62,500years,0,1
f566e5cc,500years,15,1,,,500years,22.60085664,63,127.6,30,73,68,115,,,,,500years,20,1,22.9,2,22.5,2,0,0,6,0,7,0,9,1,17cm,1,4.69248,22.6033,1311.73,1705.24,27.2901,81.9791,14.5219,8.08138,45.6209,2,32.5071,22.182,77.2866,37.9816,59.7971,500years,3.25,,,500years,0,4,5,0,2,0,0,0,2,0,5,0,0,0,1,1,5,1,5,1,500years,31,45,500years,3,1
376e617f,chotu,11,0,17cm,59,,,,,,,,,,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500years,2.32,500years,4,4,5,1,5,1,0,4,2,2,0,0,4,1,5,4,4,5,2,5,500years,35,50,chotu,3,2
99677b5e,chotu,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17cm,2,2.35424,15.4047,943.413,1415.12,11.473,42.7489,13.606,1.79863,5.65112,1,21.1966,10.0792,40.3946,17.3491,32.6696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,0,
7c1e9b96,500years,13,1,,,500years,29.85291493,57.5,140.4,35,58,85,117,,,,,500years,13,0,21.6,2,25.4,3,0,0,6,0,5.5,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500years,0,
0dfcdebc,rinki,11,0,,,,,,,,,,,,,,,17cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,,
56c99b23,17cm,6,0,chotu,60,17cm,15.40298778,47,48.4,,50,74,106,17cm,,,,17cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,2,0,1,0,2,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,17cm,39,55,17cm,0,0
d08806a2,500years,8,0,rinki,45,rinki,23.91550069,54,99.2,,70,115,114,rinki,4,5,42,rinki,4,1,,,,,5,1,11,1,10,1,11,1,rinki,2,3.60632,23.9181,1152.54,1844.07,16.3918,65.024,15.6779,8.24019,34.176,2,31.6013,17.0309,61.4176,27.3557,47.9931,,,,,rinki,5,5,5,0,5,0,0,1,1,0,1,0,4,1,2,4,4,2,2,0,rinki,59,81,500years,0,1
